school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,school_data_source
ADDINGTON PRIMARY SCHOOL,31.04360008239746,-29.86840057373047,Primary,ZAF,6431acd4-1bbb-3c51-bb3e-a971f21da2f0,
ADDO PRIMARY SCHOOL,25.686429977416992,-33.54901123046875,Primary,ZAF,286c1d54-eea6-3bb0-9a89-c4af4ced0c08,
ADELAIDE GYMNASIUM,26.29475975036621,-32.71036148071289,Secondary,ZAF,deeff4d7-f0e2-374d-8fb9-4137161e250c,
ADELAIDE JUNIOR SECONDARY SCHOOL,26.29792022705078,-32.6845588684082,Primary,ZAF,543c511b-5f9a-33b4-971e-a90e51f4c2b5,
ADELAIDE PRIMARY SCHOOL,26.293880462646484,-32.707820892333984,Primary,ZAF,9f9dc9f3-9b93-3e7a-8bc2-44ca0d239609,
ADELAIDE TAMBO S/S,26.84005355834961,-27.95433235168457,Secondary,ZAF,b86decd0-263f-3fc5-9603-8569b33e62be,
ADELINE MEJE P/S,26.947154998779297,-27.18747901916504,Primary,ZAF,9639676d-6c5c-3b11-96de-e5ec1c977f3d,
ADENDORP PRIMARY SCHOOL,24.549379348754883,-32.3034782409668,Primary,ZAF,3ce8c236-2a70-3e1c-a64b-00eed7add27f,
ADOLF MHINGA,30.9718017578125,-22.762414932250977,Secondary,ZAF,e6cb316b-028a-3ee6-83ed-371a09770569,
ADOLPH SCHAUDER PRIMARY SCHOOL,25.561269760131836,-33.93186950683594,Primary,ZAF,eec9ec24-2fad-3be6-b273-c217a62cd563,
AD TSHAYINGCA SECONDARY SCHOOL,29.85240936279297,-30.865360260009766,Secondary,ZAF,c2e3dd6b-ed61-32c0-bd43-96e44a2a3952,
ADZIMMBAMBI,30.267725,-22.913168,Primary,ZAF,d12016d7-9002-3b92-b7b5-8f3a7577cf68,
AEROVILLE SECONDARY SCHOOL,25.600730895996094,-32.74591827392578,Secondary,ZAF,346d788d-c060-3edb-b675-efdaa23f3a97,
A.F. KRIEL VGK PRIMﾊRE SKOOL,20.19325828552246,-33.81344223022461,Primary,ZAF,49b72c4e-beb1-3eda-b223-146a9497b65e,
A.F. LOUW LAERSKOOL,18.85818862915039,-33.924407958984375,Primary,ZAF,97a1f27c-34d6-3a90-86dd-14184881fecf,
AFRIKAANSE HOËR MEISIESKOOL,28.219791412353516,-25.756561279296875,Secondary,ZAF,23916a11-aa45-32d5-afac-bed32bb21bd9,
AFRIKAANSE HOËR SEUNSKOOL,28.22232437133789,-25.756460189819336,Secondary,ZAF,677dad01-e629-3d80-b84d-0336980f988f,
AFRIKAANSE HOËRSKOOL GERMISTON,28.177555084228516,-26.240537643432617,Secondary,ZAF,168f33cf-9b42-3a46-a2e2-48f1089dcaa3,
AFRIKAANSE  H/SKOOL SASOLBURG,27.804040908813477,-26.8181209564209,Secondary,ZAF,955d7326-1eda-373f-8363-d00ff62e5779,
AGANG-THUTO PRIMARY SCHOOL,23.14920997619629,-28.490690231323242,Primary,ZAF,728c3b24-59e9-3161-94e8-baf0a259c05c,
