school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,school_data_source
"Javna ustanova ""Druga osnovna škola"" Konjic; Područna škola Džepi",18.016077041625977,43.66648483276367,Primary,BIH,4afc9a6e-b046-3b61-9b6c-ed08f76b5f0f,
"Javna ustanova ""Druga osnovna škola"" Konjic; Područna škola Podorašac",17.98979377746582,43.7023811340332,Primary,BIH,e4b6a6a7-a1c0-3b33-8f48-a213fe1a0a22,
"Javna ustanova ""Druga osnovna škola"" Konjic; Područna škola Spiljani",18.00584602355957,43.61597442626953,Primary,BIH,04499eb7-741b-34ef-a1c6-c071453e7a63,
Javna ustanova Druga osnovna škola Srebrenik,18.661399841308594,44.54169845581055,Primary,BIH,93c9cfd4-8939-37c9-8c51-7e30b660bae3,
Javna ustanova Druga osnovna škola Srebrenik-PŠ Ćehaje,18.498132705688477,44.71917724609375,Primary,BIH,a0bece9b-8cb5-384c-b95d-58accf17c4bb,
Javna ustanova Druga osnovna škola Srebrenik-PŠ Gornji Srebrenik,18.497156143188477,44.70601272583008,Primary,BIH,6ed262ba-7101-32f2-a610-2bef377b354b,
"Javna ustanova ""Gimnazija"" Cazin",15.915080070495605,44.967491149902344,Other,BIH,9231e2fb-c716-36e8-82e9-6ba2120bbd00,
"Javna ustanova Gimnazija ""Edhem Mulabdić"" Maglaj",18.100467681884766,44.553123474121094,Other,BIH,3df18dbf-717c-3267-87cf-bfba1c383cab,
JAVNA USTANOVA GIMNAZIJA VELIKA KLADUŠA,15.80374526977539,45.19190216064453,Other,BIH,1b9ed123-db86-3ad7-a2b9-cd1df588b3ec,
JAVNA USTANOVA GIMNAZIJA ŽIVINICE,18.651525497436523,44.4443473815918,Other,BIH,733c1abd-738d-3488-a011-2a4be5d7ce6b,
Javna ustanova Mješovita srednja saobraćajna škola Tuzla,18.661399841308594,44.54169845581055,Secondary,BIH,bb6bf0f2-3672-3946-a4d1-e420ab474db2,
Javna ustanova Mješovita srednja škola,18.308738708496094,44.70914840698242,Secondary,BIH,279b54d8-9790-34cb-9486-96f2462c182d,
JAVNA USTANOVA MJEŠOVITA SREDNJA ŠKOLA DOBOJ ISTOK,18.6734676361084,44.53746032714844,Secondary,BIH,79d96a6b-e397-306f-95f7-3f75fc3b82bb,
Javna ustanova Mješovita srednja škola Donji Vakuf,17.40106773376465,44.1398811340332,Secondary,BIH,6190e83e-77ab-3d0f-ae12-87205c638247,
"Javna ustanova Mješovita srednja škola ""Enver Pozderović",18.973615646362305,43.663856506347656,Secondary,BIH,84b181a2-c575-3d8a-a97a-8c3d992af625,
"JAVNA USTANOVA MJEŠOVITA SREDNJA ŠKOLA ""HASAN KIKIĆ"" GRADAČAC",18.396015167236328,44.8841667175293,Secondary,BIH,2e66dcd9-d20c-34d7-bb56-c7e996649c29,
JAVNA USTANOVA MJEŠOVITA SREDNJA ŠKOLA KALESIJA,18.876474380493164,44.44220733642578,Secondary,BIH,d794e857-1e4e-39ce-b85d-b2bcbfeb749a,
"Javna ustanova Mješovita srednja škola ""Musa Ćazim Ćatić"" Kladanj",18.65154457092285,44.54481887817383,Secondary,BIH,6e45d0a3-330e-3503-a154-22a398ab5382,
"Javna ustanova Mješovita srednja škola ""Safet Krupić"" Bosanska Krupa",16.020282745361328,45.039615631103516,Secondary,BIH,70910683-8869-332f-b388-8e4f0573239d,
Javna ustanova Mješovita srednja škola Teočak,18.980741500854492,44.601531982421875,Secondary,BIH,57381632-7710-3615-99fc-f2d5fef7c3b1,
"JAVNA USTANOVA OSNONA ŠKOLA ""TRAVNIK",17.65509605407715,44.22542190551758,Primary,BIH,33f0439f-bddf-3835-b1e5-4303b5c79438,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""1.MART"" Velika Kladuša",15.95485782623291,45.16376495361328,Primary,BIH,a0dd69b5-9c08-322d-8489-f47b208a7b63,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""1.MART"" VELIKA KLADUŠA",15.942192077636719,45.20139694213867,Primary,BIH,46bf4f21-9fbd-3fb7-b067-4422e2103874,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""1.MART"" VELIKA KLADUŠA",15.938380241394043,45.177066802978516,Primary,BIH,0623bcf4-62ac-3209-968a-9b04660a3a7a,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""1.MART"" VELIKA KLADUŠA",15.958491325378418,45.14283752441406,Primary,BIH,1d40a02a-3691-3b96-8fbc-48fb46375776,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""AHMED MURADBEGOVIĆ"" ZENICA",17.908000946044922,44.19430160522461,Primary,BIH,60e0a491-47f0-3691-b67a-152c9faa19c9,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""AHMED MURADBEGOVIĆ"" ZENICA",17.908000946044922,44.19430160522461,Primary,BIH,a375786b-c7b6-351f-85c0-cab612bc9cf6,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""AHMED MURADBEGOVIĆ"" ZENICA PODRUČNA ŠKOLA LOKVINE",17.85769271850586,44.20587921142578,Primary,BIH,98aa046a-dddf-3e82-8af4-7f43036f87c0,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""AHMED MURADBEGOVIĆ"" ZENICA PODRUČNA ŠKOLA LOKVINE",17.857681274414062,44.205894470214844,Primary,BIH,6a5489be-aaee-3f4a-923a-c7e5a1cc5453,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""AHMED MURADBEGOVIĆ"" ZENICA PODRUČNA ŠKOLA POJSKE",17.815942764282227,44.24021530151367,Primary,BIH,9f9da624-6a7a-3e94-b588-8b3eb3e1e71f,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""AHMED MURADBEGOVIĆ"" ZENICA PODRUČNA ŠKOLA POJSKE",17.815942764282227,44.24021530151367,Primary,BIH,2dd4de27-2f13-3bff-9add-b756d7baa537,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""AHMED MURADBEGOVIĆ"" ZENICA PODRUČNA ŠKOLA VRSELJE",17.825166702270508,44.24831771850586,Primary,BIH,5508ae49-f723-3a16-a970-458a90208700,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""AHMED MURADBEGOVIĆ"" ZENICA, PODRUČNA ŠKOLA VRSELJE",17.825166702270508,44.24831771850586,Primary,BIH,0a3c9a30-f73b-32bd-b38b-3572f3272044,
"Javna ustanova Osnovna škola ""Alija Nametak"" Zenica",18.18210220336914,43.961631774902344,Primary,BIH,d4153973-f73d-3aaa-9785-621fd374e7b9,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""ARNAUTI"" ARNAUTI",18.08138084411621,44.19092559814453,Primary,BIH,499a28c0-3087-34c3-a7b4-31176db6070c,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""ARNAUTI"" ARNAUTI, PODRUČNA ŠKOLA RADINOVIĆI",18.139488220214844,44.03221130371094,Primary,BIH,c0dd727f-cc3c-3a18-9fe0-3ae28f7f295c,
"Javna ustanova Osnovna škola ""Banovići",18.677522659301758,44.538997650146484,Primary,BIH,41144e0d-83e9-3c2b-8e3d-5ce7aff325f7,
"Javna ustanova Osnovna škola ""Banovići Selo""Banovici Selo",18.4426212310791,44.40431213378906,Primary,BIH,84afc713-0afb-3d12-b9e8-710f2308d0c9,
"Javna ustanova Osnovna škola ""Banovići Selo""Banovici Selo",18.4465274810791,44.40434265136719,Primary,BIH,af883dae-93b9-3e49-8caf-b8c0118e0eb3,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""BAŠIGOVCI",18.694852828979492,44.412620544433594,Primary,BIH,964017fe-af01-3633-a347-bc98a18875c9,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""BAŠIGOVCI",18.670949935913086,44.43207931518555,Primary,BIH,62001144-0c23-38f5-ae92-c0dedf500c4e,
"JAVNA USTANOVA ""OSNOVNA ŠKOLA BLAGAJ",17.888031005859375,43.25846862792969,Primary,BIH,e2aa8f08-89ff-32ba-84db-bce4b1884ea4,
"JAVNA USTANOVA ""OSNOVNA ŠKOLA BLAGAJ""  Područno odjeljenje Vranjevići",17.887550354003906,43.2598876953125,Primary,BIH,4dc05441-189a-38e9-afe7-95db20489256,
Javna Ustanova Osnovna Škola Brčanska Malta,18.713804244995117,44.56120300292969,Primary,BIH,9498b954-7f93-3b9b-991c-65300ce2b225,
"Javna Ustanova Osnovna škola ""Brijesnica"" Brijesnica Velika",18.66080093383789,44.54169845581055,Primary,BIH,faa85c95-6152-39e8-bad8-96a5891c1bde,
"Javna Ustanova Osnovna škola ""Brijesnica"" Brijesnica Velika",18.187931060791016,44.7252197265625,Primary,BIH,4c4bee99-e7aa-3050-8769-bfccd4ff2783,
"Javna ustanova Osnovna škola ""Bukinje"" Tuzla",18.60086441040039,44.52284240722656,Primary,BIH,a565cd5c-38ff-3d43-9aba-344ee56ab3b9,
"Javna ustanova Osnovna škola "" Bužim",15.943499565124512,44.96070098876953,Primary,BIH,03a5d586-9e42-392a-97af-6f8443a1f998,
"Javna ustanova Osnovna škola "" Bužim ""PŠ BUĆEVCI",15.943499565124512,44.96070098876953,Primary,BIH,4cdbaf87-86ba-3a6b-aee4-bc13921f021e,
"Javna ustanova Osnovna škola "" Bužim ""PŠ ELKSOVA RIJEKA",15.943499565124512,44.96070098876953,Primary,BIH,8a406e69-9316-3541-ba7a-6e6b5ee9fb3f,
"Javna ustanova Osnovna škola "" Bužim ""PŠ LUBARDA",15.943499565124512,44.96070098876953,Primary,BIH,500b505d-d906-3314-9e42-d28519f8124c,
"Javna ustanova Osnovna škola "" Bužim ""PŠ MRAZOVAC",15.943499565124512,44.96070098876953,Primary,BIH,30da508e-1efa-373b-98c6-901add68b94b,
"Javna ustanova Osnovna škola "" Bužim ""PŠ Varoška Rijeka",15.943499565124512,44.96070098876953,Primary,BIH,a1d31404-1d8c-3ee1-9d7c-10014ce0efb2,
"Javna ustanova Osnovna škola "" Bužim ""PŠ VRHOVSKA",15.943499565124512,44.96070098876953,Primary,BIH,c2b916cc-3f34-363d-b122-567faf9b337e,
"Javna ustanova Osnovna škola "" Bužim ""PŠ ZARADOSTOVO",15.943499565124512,44.96070098876953,Primary,BIH,62e9a296-da66-3037-b84f-728d1ad024e8,
"Javna ustanova osnovna škola ""CAZIN I"" Cazin",15.879253387451172,44.818077087402344,Primary,BIH,f17f4473-97c5-3268-82ba-8b3737e1cca4,
"Javna ustanova osnovna škola ""CAZIN I"" Cazin",15.942809104919434,44.957279205322266,Primary,BIH,a2e5d8c1-26ba-3484-8719-198d0f4fd7a4,
"Javna ustanova osnovna škola ""CAZIN I"" Cazin",15.960841178894043,44.955780029296875,Primary,BIH,ce583874-cac4-3462-88c5-ce7f96e005bd,
"Javna Ustanova Osnovna Škola ""Cazin II"" Cazin",15.8551664352417,44.821502685546875,Primary,BIH,f01c50b6-3db1-3823-be72-cae5daee5d34,
"Javna ustanova Osnovna škola ""Čelebići"" u Čelebićima Konjic",17.90656089782715,43.68070602416992,Primary,BIH,8c423a4e-b79d-38a0-a1cb-031ca2530959,
"Javna ustanova Osnovna škola ""Čelebići"" u Čelebićima Konjic, Područna škola Grabovci",17.904953002929688,43.7161865234375,Primary,BIH,797d50e7-3c5a-352b-88ee-12e4ef46d20a,
"Javna ustanova Osnovna škola ""Čelebići"" u Čelebićima Konjic, Područna škola Idbar",17.859403610229492,43.64826202392578,Primary,BIH,52b69479-3b7d-3e26-a192-be13ad2286dc,
"Javna ustanova Osnovna škola ""Čelebići"" u Čelebićima Konjic, Područna škola Lisičići",17.88017463684082,43.69986343383789,Primary,BIH,a6227f5b-fc62-3fc4-8032-1a30f20bc72d,
"Javna ustanova Osnovna škola ""Čelebići"" u Čelebićima Konjic, Područna škola Orahovica",17.91095542907715,43.66399002075195,Primary,BIH,0e98ce6f-7d29-3025-a0e7-1a66e2bfe08e,
"Javna ustanova Osnovna škola ""Čelebići"" u Čelebićima Konjic, Područna škola Ribići",17.839115142822266,43.686012268066406,Primary,BIH,31e12ced-9e42-32e2-bcb2-1867feb535cb,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""ČELIĆ",18.543415069580078,44.58656692504883,Primary,BIH,abd16296-9908-3220-8934-16e55f8a996d,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""ČELIĆ"" PŠ Ratkovići",18.782285690307617,44.742034912109375,Primary,BIH,389913c3-9527-3990-a59d-413646c3b976,
Javna ustanova Osnovna škola Centar,18.6734676361084,44.53746032714844,Primary,BIH,27905147-f1a9-3025-a1d2-158309449b58,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""ĆORALIĆI"" ĆORALIĆI",15.86856460571289,44.81196212768555,Primary,BIH,8da21e9d-dfe8-3be0-a5da-9856cfe448db,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""ĆORALIĆI"" ĆORALIĆI",15.86856460571289,44.81196212768555,Primary,BIH,9b16c9fd-2091-31ee-a4f6-89c212945155,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""ĆORALIĆI"" ĆORALIĆI",15.86856460571289,44.81196212768555,Primary,BIH,497d92dd-58c1-37a1-a594-9212f9c564e6,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""DOBOROVCI",18.398195266723633,44.75175476074219,Primary,BIH,cd1f78a9-9698-3dba-99cb-1f60a741832e,
"JAVNA USTANOVA OSNOVNA ŠKOLA ""DOBOROVCI"" PODRUČNA ŠKOLA ""VRANOVIĆI",18.37030792236328,44.728172302246094,Primary,BIH,d2b8497a-ad34-3bcc-92ee-d61ceeb3ccb6,
JAVNA USTANOVA OSNOVNA ŠKOLA DOBOŠNICA,18.44562530517578,44.60292053222656,Primary,BIH,588e8d5c-f36b-386e-ab6a-f8d95de34746,
"Javna ustanova Osnovna škola ""Drežnica",17.563188552856445,43.55359649658203,Primary,BIH,226dde6f-17c1-3a76-97ab-9dcc2dcc4785,
